recording_key,subject,session,run,from_description,to_description,from_onset_s,to_onset_s,gap_s,from_duration_s,from_end_s,annotation_overlap_s
10::0::0,10,0,0,left_hand,right_hand,4.008,8.008,3.999999999999999,4.0,8.008,0.0
10::0::0,10,0,0,right_hand,left_hand,8.008,10.0,1.9920000000000009,4.0,12.008,2.007999999999999
10::0::0,10,0,0,left_hand,right_hand,10.0,12.004,2.0039999999999996,4.0,14.0,1.9960000000000004
10::0::0,10,0,0,right_hand,left_hand,12.004,16.006,4.002000000000001,4.0,16.003999999999998,-0.0020000000000024443
10::0::0,10,0,0,left_hand,right_hand,16.006,18.0,1.9939999999999998,4.0,20.006,2.0060000000000002
10::0::0,10,0,0,right_hand,left_hand,18.0,20.006,2.0060000000000002,4.0,22.0,1.9939999999999998
10::0::0,10,0,0,left_hand,right_hand,20.006,24.006,4.0,4.0,24.006,0.0
10::0::0,10,0,0,right_hand,left_hand,24.006,26.0,1.9939999999999998,4.0,28.006,2.0060000000000002
10::0::0,10,0,0,left_hand,right_hand,26.0,28.006,2.0060000000000002,4.0,30.0,1.9939999999999998
10::0::0,10,0,0,right_hand,left_hand,28.006,32.008,4.0020000000000024,4.0,32.006,-0.0020000000000024443
10::0::0,10,0,0,left_hand,right_hand,32.008,34.0,1.9919999999999973,4.0,36.008,2.0080000000000027
10::0::0,10,0,0,right_hand,left_hand,34.0,36.006,2.0060000000000002,4.0,38.0,1.9939999999999998
10::0::0,10,0,0,left_hand,right_hand,36.006,40.01,4.003999999999998,4.0,40.006,-0.003999999999997783
10::0::0,10,0,0,right_hand,left_hand,40.01,42.0,1.990000000000002,4.0,44.01,2.009999999999998
10::0::0,10,0,0,left_hand,right_hand,42.0,44.008,2.0080000000000027,4.0,46.0,1.9919999999999973
10::0::0,10,0,0,right_hand,left_hand,44.008,48.012,4.003999999999998,4.0,48.008,-0.003999999999997783
10::0::0,10,0,0,left_hand,right_hand,48.012,50.0,1.9879999999999995,4.0,52.012,2.0120000000000005
10::0::0,10,0,0,right_hand,left_hand,50.0,52.008,2.0080000000000027,4.0,54.0,1.9919999999999973
10::0::0,10,0,0,left_hand,right_hand,52.008,56.012,4.003999999999998,4.0,56.008,-0.003999999999997783
10::0::0,10,0,0,right_hand,left_hand,56.012,58.0,1.9879999999999995,4.0,60.012,2.0120000000000005
10::0::0,10,0,0,left_hand,right_hand,58.0,60.004,2.003999999999998,4.0,62.0,1.9960000000000022
10::0::0,10,0,0,right_hand,left_hand,60.004,64.006,4.0020000000000024,4.0,64.00399999999999,-0.0020000000000095497
10::0::0,10,0,0,left_hand,right_hand,64.006,66.0,1.9939999999999998,4.0,68.006,2.0060000000000002
10::0::0,10,0,0,right_hand,left_hand,66.0,68.008,2.0079999999999956,4.0,70.0,1.9920000000000044
10::0::0,10,0,0,left_hand,right_hand,68.008,72.012,4.004000000000005,4.0,72.008,-0.0040000000000048885
10::0::0,10,0,0,right_hand,left_hand,72.012,74.0,1.9879999999999995,4.0,76.012,2.0120000000000005
10::0::0,10,0,0,left_hand,right_hand,74.0,76.006,2.0060000000000002,4.0,78.0,1.9939999999999998
10::0::0,10,0,0,right_hand,left_hand,76.006,80.008,4.001999999999995,4.0,80.006,-0.001999999999995339
10::0::0,10,0,0,left_hand,right_hand,80.008,82.0,1.9920000000000044,4.0,84.008,2.0079999999999956
10::0::0,10,0,0,right_hand,left_hand,82.0,84.004,2.004000000000005,4.0,86.0,1.9959999999999951
10::0::0,10,0,0,left_hand,right_hand,84.004,88.006,4.001999999999995,4.0,88.004,-0.001999999999995339
10::0::0,10,0,0,right_hand,left_hand,88.006,90.0,1.9939999999999998,4.0,92.006,2.0060000000000002
10::0::0,10,0,0,left_hand,right_hand,90.0,92.006,2.0060000000000002,4.0,94.0,1.9939999999999998
10::0::0,10,0,0,right_hand,left_hand,92.006,96.01,4.004000000000005,4.0,96.006,-0.0040000000000048885
10::0::0,10,0,0,left_hand,right_hand,96.01,98.0,1.9899999999999949,4.0,100.01,2.010000000000005
10::0::0,10,0,0,right_hand,left_hand,98.0,100.008,2.0079999999999956,4.0,102.0,1.9920000000000044
10::0::0,10,0,0,left_hand,right_hand,100.008,104.008,4.0,4.0,104.008,0.0
10::0::0,10,0,0,right_hand,left_hand,104.008,106.0,1.9920000000000044,4.0,108.008,2.0079999999999956
11::0::0,11,0,0,left_hand,right_hand,4.008,8.012,4.0040000000000004,4.0,8.008,-0.004000000000001336
11::0::0,11,0,0,right_hand,left_hand,8.012,10.0,1.9879999999999995,4.0,12.012,2.0120000000000005
11::0::0,11,0,0,left_hand,right_hand,10.0,12.006,2.0060000000000002,4.0,14.0,1.9939999999999998
11::0::0,11,0,0,right_hand,left_hand,12.006,16.008,4.001999999999999,4.0,16.006,-0.0019999999999988916
11::0::0,11,0,0,left_hand,right_hand,16.008,18.0,1.9920000000000009,4.0,20.008,2.007999999999999
11::0::0,11,0,0,right_hand,left_hand,18.0,20.004,2.0040000000000013,4.0,22.0,1.9959999999999987
11::0::0,11,0,0,left_hand,right_hand,20.004,24.008,4.003999999999998,4.0,24.004,-0.003999999999997783
